Module,asco_connection,cancernet,practicecentral,tapur,volunteer
"OG example (og_example)","Not installed","Not installed","Not installed","Not installed","Not installed"
"UUID Services Example (uuid_services_example)","Not installed","Not installed","Not installed","Not installed","Not installed"
"FE Block (fe_block)","Not installed","Not installed","Not installed","Not installed","Not installed"
"FE Date (fe_date)","Not installed","Not installed","Not installed","Not installed","Not installed"
"FE Profile (fe_profile)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Feeds News (feeds_news)","Not installed","Not installed","Not installed","Not installed","Not installed"
"JSONPath Parser (feeds_jsonpath_parser)",Disabled,"Not installed","Not installed","Not installed","Not installed"
"Block reference (blockreference)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Computed Field (computed_field)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Conditional Fields (conditional_fields)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Email (email)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Entity Reference Behavior Example (entityreference_behavior_example)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Field Formatter Class (field_formatter_class)","Not installed","Not installed","Not installed","Not installed","Not installed"
"File Field Sources (filefield_sources)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Font Reference (font_reference)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Inline Entity Form (inline_entity_form)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Menu Field (menufield)","Not installed","Not installed","Not installed","Not installed","Not installed"
"References dialog (references_dialog)","Not installed","Not installed","Not installed","Not installed","Not installed"
"References UUID (references_uuid)","Not installed","Not installed","Not installed","Not installed","Not installed"
"SliderField Example (sliderfield_example)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Title (title)","Not installed","Not installed","Not installed","Not installed","Not installed"
"View reference (viewreference)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Hierarchical Select Entity Reference (hser)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Hierarchical Select Flat List (hs_flatlist)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Hierarchical Select Menu (hs_menu)","Not installed","Not installed","Not installed","Not installed","Not installed"
"Hierarchical Select Small Hierarchy (hs_smallhierarchy)","Not installed","Not installed","Not installed","Not installed","Not installed"
"GICASYM Tagging (gicasym_tag)","Not installed","Not installed","Not installed","Not installed","Not installed"
